now,messages,aircraft
1616180096,9512,"{'hex': 'a42e13', 'flight': 'DAL2167 ', 'alt_baro': 20525, 'alt_geom': 21425, 'gs': 422.9, 'ias': 288, 'tas': 396, 'mach': 0.632, 'track': 109.8, 'track_rate': 0.09, 'roll': 0.5, 'mag_heading': 119.5, 'baro_rate': -1920, 'geom_rate': -1920, 'squawk': '2021', 'emergency': 'none', 'category': 'A3', 'nav_altitude_mcp': 16000, 'nav_heading': 0.0, 'lat': 25.989258, 'lon': -81.268305, 'nic': 8, 'rc': 186, 'seen_pos': 2.6, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 378, 'seen': 0.4, 'rssi': -12.5}"
1616180096,9512,"{'hex': 'abca53', 'alt_baro': 35000, 'alt_geom': 36250, 'gs': 456.2, 'ias': 263, 'mach': 0.776, 'track': 351.3, 'mag_heading': 346.3, 'baro_rate': 0, 'geom_rate': 0, 'squawk': '2231', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 35008, 'nav_modes': ['autopilot', 'vnav', 'tcas'], 'lat': 27.470429, 'lon': -81.011071, 'nic': 8, 'rc': 186, 'seen_pos': 19.5, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 90, 'seen': 2.3, 'rssi': -13.8}"
1616180096,9512,"{'hex': 'a860b7', 'flight': 'RPA3632 ', 'alt_baro': 24000, 'alt_geom': 25000, 'gs': 414.9, 'track': 161.3, 'baro_rate': 64, 'squawk': '6242', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 24000, 'nav_modes': ['autopilot', 'althold', 'tcas'], 'lat': 25.878525, 'lon': -82.113267, 'nic': 8, 'rc': 186, 'seen_pos': 1.0, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 182, 'seen': 0.1, 'rssi': -8.1}"
1616180096,9512,"{'hex': 'a4c846', 'flight': 'SIL137  ', 'alt_baro': 13925, 'alt_geom': 14450, 'gs': 286.6, 'track': 356.2, 'baro_rate': 0, 'squawk': '0030', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1016.8, 'nav_altitude_mcp': 14016, 'nav_heading': 357.9, 'lat': 26.016953, 'lon': -81.7374, 'nic': 8, 'rc': 186, 'seen_pos': 0.5, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 301, 'seen': 0.0, 'rssi': -5.2}"
1616180096,9512,"{'hex': 'a99b6a', 'flight': 'SWA1974 ', 'alt_baro': 34050, 'alt_geom': 35275, 'gs': 409.0, 'track': 308.7, 'baro_rate': 1344, 'squawk': '7623', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 38016, 'nav_heading': 307.3, 'lat': 27.073106, 'lon': -81.612942, 'nic': 7, 'rc': 371, 'seen_pos': 0.5, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 467, 'seen': 0.30000000000000004, 'rssi': -8.5}"
1616180096,9512,"{'hex': 'aab169', 'flight': 'SWA1708 ', 'alt_baro': 13975, 'alt_geom': 14500, 'gs': 371.7, 'track': 212.4, 'baro_rate': 640, 'squawk': '3533', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 23008, 'nav_heading': 220.1, 'lat': 26.182205, 'lon': -82.081708, 'nic': 7, 'rc': 371, 'seen_pos': 0.1, 'version': 2, 'nic_baro': 1, 'nac_p': 8, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 1, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 302, 'seen': 0.1, 'rssi': -5.2}"
1616180096,9512,"{'hex': 'a1b95f', 'flight': 'N21YR   ', 'alt_baro': 5975, 'alt_geom': 6225, 'gs': 150.4, 'track': 265.8, 'geom_rate': 2752, 'squawk': '2212', 'emergency': 'none', 'category': 'A1', 'lat': 26.131256, 'lon': -81.915099, 'nic': 9, 'rc': 75, 'seen_pos': 0.30000000000000004, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 250, 'seen': 0.1, 'rssi': -10.7}"
1616180096,9512,"{'hex': 'a05dbc', 'flight': 'UAL527  ', 'alt_baro': 9900, 'alt_geom': 10275, 'gs': 351.5, 'track': 11.8, 'baro_rate': 0, 'squawk': '0564', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1016.0, 'nav_altitude_mcp': 10016, 'nav_heading': 237.7, 'lat': 26.663361, 'lon': -81.831095, 'nic': 8, 'rc': 186, 'seen_pos': 2.1, 'version': 2, 'nic_baro': 1, 'nac_p': 9, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 454, 'seen': 1.4, 'rssi': -5.9}"
1616180096,9512,"{'hex': 'a88cbd', 'flight': 'N650AC  ', 'alt_baro': 19850, 'alt_geom': 20650, 'gs': 271.5, 'track': 266.4, 'baro_rate': 2880, 'squawk': '0503', 'emergency': 'none', 'category': 'A2', 'nav_qnh': 1012.8, 'nav_altitude_mcp': 23008, 'lat': 26.112808, 'lon': -82.222042, 'nic': 8, 'rc': 186, 'seen_pos': 0.2, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 1, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 210, 'seen': 0.1, 'rssi': -8.5}"
1616180096,9512,"{'hex': 'aa1fd6', 'flight': 'XOJ751  ', 'alt_baro': 34975, 'alt_geom': 36300, 'gs': 476.9, 'track': 338.6, 'geom_rate': 704, 'squawk': '0530', 'emergency': 'none', 'category': 'A2', 'lat': 27.322083, 'lon': -81.773261, 'nic': 8, 'rc': 186, 'seen_pos': 3.7, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 321, 'seen': 0.5, 'rssi': -12.1}"
1616180096,9512,"{'hex': 'a7c80b', 'flight': 'N600JD  ', 'alt_baro': 39925, 'alt_geom': 41550, 'gs': 469.1, 'ias': 263, 'tas': 494, 'mach': 0.86, 'track': 348.1, 'track_rate': 0.0, 'roll': -0.2, 'mag_heading': 346.1, 'baro_rate': 1152, 'geom_rate': 1568, 'squawk': '5647', 'emergency': 'none', 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 40000, 'nav_altitude_fms': 40000, 'nav_modes': ['autopilot', 'tcas'], 'lat': 26.536194, 'lon': -81.743463, 'nic': 8, 'rc': 186, 'seen_pos': 0.30000000000000004, 'version': 2, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'perhour', 'gva': 2, 'sda': 2, 'mlat': [], 'tisb': [], 'messages': 500, 'seen': 0.0, 'rssi': -1.8}"
1616180096,9512,"{'hex': 'ab0a73', 'flight': 'RPA5720 ', 'alt_baro': 24850, 'alt_geom': 25825, 'gs': 480.5, 'track': 13.6, 'baro_rate': 1152, 'category': 'A3', 'nav_qnh': 1013.6, 'nav_altitude_mcp': 33024, 'nav_modes': ['autopilot', 'tcas'], 'lat': 25.95683, 'lon': -81.224987, 'nic': 8, 'rc': 186, 'seen_pos': 34.8, 'version': 0, 'nic_baro': 1, 'nac_p': 10, 'nac_v': 2, 'sil': 3, 'sil_type': 'unknown', 'mlat': [], 'tisb': [], 'messages': 46, 'seen': 16.9, 'rssi': -12.5}"
